"from_team","to_team","weight","from_connections","to_connections"
1163,1486,22,10,2
1183,1646,44,2,15
1197,2075,14,4,3
1201,1945,48,13,6
1203,2900,54,4,10
1205,2100,8,2,4
1216,2554,16,3,3
1220,2200,38,9,3
1225,1513,34,3,7
1225,5587,8,2,3
1257,2322,22,3,8
1298,2280,10,5,2
1310,5313,20,2,5
1310,5835,24,2,6
1406,1835,28,12,2
1469,1894,18,5,2
1475,1932,14,2,6
1489,1731,14,2,4
1500,2496,90,2,17
1524,2224,8,2,2
1536,2105,20,6,2
1580,2869,8,2,4
1603,1792,14,4,2
1621,4241,14,2,6
1647,3052,16,2,5
1697,4942,20,2,7
1699,4490,16,2,5
1704,4927,14,2,4
1708,2018,42,9,13
1709,2466,42,11,2
1720,2072,26,2,11
1731,5132,30,2,8
1733,2504,48,2,20
1734,1839,6,2,2
1813,2253,22,6,3
1838,2292,18,2,8
1861,2478,6,3,2
1870,2090,38,6,2
1873,2858,28,2,11
1894,5662,16,2,4
1930,3150,28,2,4
1955,5645,14,2,5
1957,2116,8,2,2
2000,5594,8,2,2
2003,2060,14,4,2
2013,2176,4,2,2
2014,2227,6,2,3
2023,2256,18,2,6
2039,2349,24,7,2
2041,2515,10,4,2
2046,2779,44,3,16
2056,5851,20,2,5
2059,2279,20,9,2
2069,2721,32,2,8
2126,3598,18,2,5
2161,3784,18,2,5
2164,2801,40,7,9
2232,2270,8,4,2
2254,2275,12,6,2
2262,5173,12,2,3
2391,2499,6,2,3
2431,2558,8,2,2
2466,2972,12,2,4
2484,4137,12,2,3
2486,5418,22,2,6
2499,2986,16,2,4
2534,5367,22,2,8
